tanggal,komoditas,lokasi,harga
2026-06-02,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15508
2026-06-02,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14582
2026-06-02,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13862
2026-06-02,Beras Muncul I,Rata-rata DKI Jakarta,15867
2026-06-02,Beras IR 42/Pera,Rata-rata DKI Jakarta,16539
2026-06-02,Beras Setra I/Premium,Rata-rata DKI Jakarta,16900
2026-06-02,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,22433
2026-06-02,Cabe Merah Keriting,Rata-rata DKI Jakarta,62640
2026-06-02,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,71100
2026-06-02,Cabe Rawit Merah,Rata-rata DKI Jakarta,85845
2026-06-02,Cabe Rawit Hijau,Rata-rata DKI Jakarta,63000
2026-06-02,Bawang Merah,Rata-rata DKI Jakarta,59879
2026-06-02,Bawang Putih,Rata-rata DKI Jakarta,41498
2026-06-02,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152821
2026-06-02,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148124
2026-06-02,Ayam Broiler/Ras,Rata-rata DKI Jakarta,43738
2026-06-02,Telur Ayam Ras,Rata-rata DKI Jakarta,28367
2026-06-02,Gula Pasir,Rata-rata DKI Jakarta,18519
2026-06-02,Tepung Terigu,Rata-rata DKI Jakarta,11383
2026-06-02,Garam Dapur,Rata-rata DKI Jakarta,4608
2026-06-02,Kentang (sedang),Rata-rata DKI Jakarta,19364
2026-06-02,Tomat Buah,Rata-rata DKI Jakarta,18895
2026-06-02,Kelapa Kupas,Rata-rata DKI Jakarta,15183
2026-06-02,Semangka,Rata-rata DKI Jakarta,13072
2026-06-02,Jeruk Medan,Rata-rata DKI Jakarta,31967
2026-06-02,Daging Kambing,Rata-rata DKI Jakarta,153250
2026-06-02,Daging Babi Berlemak,Rata-rata DKI Jakarta,105444
2026-06-02,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,43129
2026-06-02,Ikan Mas,Rata-rata DKI Jakarta,42567
2026-06-02,Ikan Lele,Rata-rata DKI Jakarta,30817
2026-06-02,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-02,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-02,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,51250
2026-06-02,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13331
2026-06-02,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12100
2026-06-02,Margarin Blueband Cup,Rata-rata DKI Jakarta,18283
2026-06-02,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10490
2026-06-02,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-02,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,19000
2026-06-02,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22958
2026-06-02,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17492
2026-06-02,Daging Sapi,Rata-rata DKI Jakarta,149444
2026-06-02,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,44167
2026-06-02,Ikan Kembung,Rata-rata DKI Jakarta,49167
2026-06-02,Kacang Kedelai,Rata-rata DKI Jakarta,18444
2026-06-03,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15618
2026-06-03,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14761
2026-06-03,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13927
2026-06-03,Beras Muncul I,Rata-rata DKI Jakarta,15406
2026-06-03,Beras IR 42/Pera,Rata-rata DKI Jakarta,16553
2026-06-03,Beras Setra I/Premium,Rata-rata DKI Jakarta,16883
2026-06-03,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21644
2026-06-03,Cabe Merah Keriting,Rata-rata DKI Jakarta,64895
2026-06-03,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,69867
2026-06-03,Cabe Rawit Merah,Rata-rata DKI Jakarta,87819
2026-06-03,Cabe Rawit Hijau,Rata-rata DKI Jakarta,64219
2026-06-03,Bawang Merah,Rata-rata DKI Jakarta,62243
2026-06-03,Bawang Putih,Rata-rata DKI Jakarta,42238
2026-06-03,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152133
2026-06-03,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148167
2026-06-03,Ayam Broiler/Ras,Rata-rata DKI Jakarta,42776
2026-06-03,Telur Ayam Ras,Rata-rata DKI Jakarta,28304
2026-06-03,Gula Pasir,Rata-rata DKI Jakarta,18468
2026-06-03,Tepung Terigu,Rata-rata DKI Jakarta,11573
2026-06-03,Garam Dapur,Rata-rata DKI Jakarta,4629
2026-06-03,Kentang (sedang),Rata-rata DKI Jakarta,19574
2026-06-03,Tomat Buah,Rata-rata DKI Jakarta,19538
2026-06-03,Kelapa Kupas,Rata-rata DKI Jakarta,14673
2026-06-03,Semangka,Rata-rata DKI Jakarta,13747
2026-06-03,Jeruk Medan,Rata-rata DKI Jakarta,31967
2026-06-03,Daging Kambing,Rata-rata DKI Jakarta,152900
2026-06-03,Daging Babi Berlemak,Rata-rata DKI Jakarta,109167
2026-06-03,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,43852
2026-06-03,Ikan Mas,Rata-rata DKI Jakarta,42120
2026-06-03,Ikan Lele,Rata-rata DKI Jakarta,30690
2026-06-03,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-03,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45500
2026-06-03,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-03,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13286
2026-06-03,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12100
2026-06-03,Margarin Blueband Cup,Rata-rata DKI Jakarta,18383
2026-06-03,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10630
2026-06-03,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-03,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18667
2026-06-03,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22542
2026-06-03,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17820
2026-06-03,Daging Sapi,Rata-rata DKI Jakarta,142083
2026-06-03,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,44375
2026-06-03,Ikan Kembung,Rata-rata DKI Jakarta,46292
2026-06-03,Kacang Kedelai,Rata-rata DKI Jakarta,19750
2026-06-05,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15725
2026-06-05,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14708
2026-06-05,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13842
2026-06-05,Beras Muncul I,Rata-rata DKI Jakarta,11834
2026-06-05,Beras IR 42/Pera,Rata-rata DKI Jakarta,16242
