tanggal,komoditas,lokasi,harga
2026-07-22,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15702
2026-07-22,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14600
2026-07-22,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13924
2026-07-22,Beras Muncul I,Rata-rata DKI Jakarta,15317
2026-07-22,Beras IR 42/Pera,Rata-rata DKI Jakarta,16293
2026-07-22,Beras Setra I/Premium,Rata-rata DKI Jakarta,16730
2026-07-22,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21691
2026-07-22,Cabe Merah Keriting,Rata-rata DKI Jakarta,45097
2026-07-22,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,50467
2026-07-22,Cabe Rawit Merah,Rata-rata DKI Jakarta,54941
2026-07-22,Cabe Rawit Hijau,Rata-rata DKI Jakarta,58552
2026-07-22,Bawang Merah,Rata-rata DKI Jakarta,47746
2026-07-22,Bawang Putih,Rata-rata DKI Jakarta,44079
2026-07-22,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,153298
2026-07-22,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,147595
2026-07-22,Ayam Broiler/Ras,Rata-rata DKI Jakarta,41595
2026-07-22,Telur Ayam Ras,Rata-rata DKI Jakarta,27285
2026-07-22,Gula Pasir,Rata-rata DKI Jakarta,18739
2026-07-22,Tepung Terigu,Rata-rata DKI Jakarta,11430
2026-07-22,Garam Dapur,Rata-rata DKI Jakarta,4773
2026-07-22,Kentang (sedang),Rata-rata DKI Jakarta,19270
2026-07-22,Tomat Buah,Rata-rata DKI Jakarta,18543
2026-07-22,Kelapa Kupas,Rata-rata DKI Jakarta,14543
2026-07-22,Semangka,Rata-rata DKI Jakarta,13543
2026-07-22,Jeruk Medan,Rata-rata DKI Jakarta,31650
2026-07-22,Daging Kambing,Rata-rata DKI Jakarta,152333
2026-07-22,Daging Babi Berlemak,Rata-rata DKI Jakarta,104500
2026-07-22,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,43652
2026-07-22,Ikan Mas,Rata-rata DKI Jakarta,41923
2026-07-22,Ikan Lele,Rata-rata DKI Jakarta,30513
2026-07-22,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-07-22,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-07-22,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,51250
2026-07-22,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13301
2026-07-22,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12900
2026-07-22,Margarin Blueband Cup,Rata-rata DKI Jakarta,17933
2026-07-22,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10533
2026-07-22,Beras Medium,Rata-rata DKI Jakarta,14000
2026-07-22,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18938
2026-07-22,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22750
2026-07-22,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,16692
2026-07-22,Daging Sapi,Rata-rata DKI Jakarta,150000
2026-07-22,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,36667
2026-07-22,Ikan Kembung,Rata-rata DKI Jakarta,46250
2026-07-22,Kacang Kedelai,Rata-rata DKI Jakarta,19222
